timestamp,heatpump_elec,heatpump_heat,heatpump_returnT,heatpump_flowT,heatpump_roomT,heatpump_outsideT,heatpump_flowrate,series_id,capacity_kw
2024-01-01 00:00:00+00:00,14.606406708613743,0.0,18.220472293429903,19.36047231886122,20.700000762939453,8.0,,162,6.0
2024-01-01 01:00:00+00:00,927.4607225221512,3723.5273254818385,23.439027743869357,26.314388910929363,20.700000762939453,7.116666666666666,,162,6.0
2024-01-01 02:00:00+00:00,1102.0752080635773,3480.6063822428387,32.740416791703964,37.069611093733045,20.700000762939453,7.383333333333334,,162,6.0
2024-01-01 03:00:00+00:00,1230.3816145787996,3631.454083200949,32.44264632413646,37.43991635038328,20.700000762939453,7.5,,162,6.0
2024-01-01 04:00:00+00:00,1203.1871868335436,3501.1615075005425,33.390694575839575,38.203138775295685,20.700000762939453,6.866666666666666,,162,6.0
2024-01-01 05:00:00+00:00,1203.4988875960241,3561.161664496528,33.080361154344345,37.883027924431694,20.700000762939453,7.0,,162,6.0
2024-01-01 06:00:00+00:00,1014.3927588502677,3236.9051801893447,32.52833336724176,37.58436139424642,20.700000762939453,7.383333333333334,,162,6.0
2024-01-01 07:00:00+00:00,1080.725069093837,3512.1543901231553,32.379083485073515,37.23088885413276,20.700000762939453,7.75,,162,6.0
2024-01-01 08:00:00+00:00,995.7275751055449,3207.015316772461,32.12047212918599,37.01402761671278,20.700000762939453,8.0,,162,6.0
2024-01-01 09:00:00+00:00,1023.513093656152,3316.0876997205946,32.28941686418322,37.03050023184882,20.700000762939453,8.0,,162,6.0
2024-01-01 10:00:00+00:00,864.4699158734929,2810.7981167263456,31.2742778301239,36.24833321041531,20.91499989827474,8.0,,162,6.0
2024-01-01 11:00:00+00:00,722.622562334066,2764.985128503656,30.91832851633056,36.352562673244634,20.936666425069173,8.0,,162,6.0
2024-01-01 12:00:00+00:00,636.0584946316264,2675.883371310764,30.77513886557685,35.27963915930854,20.939999771118163,8.0,,162,6.0
2024-01-01 13:00:00+00:00,608.2629533943027,2634.8567918565536,30.707277817196317,35.41458331214057,21.32666622797648,8.0,,162,6.0
2024-01-01 14:00:00+00:00,538.9353750754864,2502.2044114854602,30.206194480260212,35.004194323221846,21.413333002726237,8.633333333333333,,162,6.0
2024-01-01 15:00:00+00:00,150.50194938999698,698.8948033836152,29.028888914320206,33.466861168543495,21.409999910990397,9.133333333333333,,162,6.0
2024-01-01 16:00:00+00:00,14.611977728628515,0.0,25.82133698529852,29.00183846093818,20.983333524068197,10.0,,162,6.0
2024-01-01 17:00:00+00:00,14.610863512937073,0.0,23.896833403905234,26.189444393581816,20.700000762939453,10.133333333333333,,162,6.0
2024-01-01 18:00:00+00:00,14.643175520936758,0.0,22.545000086890326,24.16038892004225,20.700000762939453,11.0,,162,6.0
2024-01-01 19:00:00+00:00,14.736768815510784,0.0,21.520166614320544,22.650277837117514,20.700000762939453,11.383333333333333,,162,6.0
2024-01-01 20:00:00+00:00,14.691922015134338,0.0,20.82830550935533,21.55469444592794,20.700000762939453,12.0,,162,6.0
2024-01-01 21:00:00+00:00,14.65738161294241,0.0,20.33263889948527,20.716444481743707,20.700000762939453,11.033333333333333,,162,6.0
