timestamp,heatpump_elec,heatpump_heat,heatpump_returnT,heatpump_flowT,heatpump_roomT,heatpump_outsideT,heatpump_flowrate,system_id,capacity_kw,elec_kwh,heat_kwh,deltaT,cop,heating_on
2026-01-01 00:00:00,468.5642853655134,2293.117142857143,27.019857330322267,31.807942788260323,20.298304347668665,5.840000152587891,6.905428370067051,615,8,0.4685642853655134,2.293117142857143,4.788085457938056,4.893922167090368,True
2026-01-01 01:00:00,463.4721124353543,2315.4647887323945,27.01157765455649,31.84583093347684,20.31206824861724,5.510000228881836,6.907202691091618,615,8,0.4634721124353543,2.3154647887323945,4.83425327892035,4.995909627799577,True
2026-01-01 02:00:00,321.12909557590376,1573.454802259887,26.79836146036784,31.389689224588,20.32499933242798,5.75,4.725285688594068,615,8,0.32112909557590374,1.5734548022598869,4.591327764220161,4.899757835515023,True
2026-01-01 03:00:00,525.1230555652542,2361.968299711816,25.66178675275028,30.0255619675694,20.20350921363161,5.440000057220459,7.554296319010622,615,8,0.5251230555652542,2.3619682997118163,4.363775214819118,4.4979329600551266,True
2026-01-01 04:00:00,452.8011365370317,2001.6789772727277,26.79051134261218,30.97312505678697,20.21833381652832,4.820000171661377,6.905689513141459,615,8,0.4528011365370317,2.0016789772727277,4.1826137141747886,4.420658023478754,True
2026-01-01 05:00:00,472.9201669559425,2205.361344537815,26.39941170102074,31.00383753202209,20.19830584121963,4.139999866485596,6.905348982129778,615,8,0.47292016695594247,2.205361344537815,4.60442583100135,4.663284627367705,True
2026-01-01 06:00:00,479.4193728194277,2245.925925925926,26.433931464822884,31.121965723499613,20.20175512213456,3.9800000190734863,6.905559318357723,615,8,0.4794193728194277,2.245925925925926,4.68803425867673,4.684679120741016,True
2026-01-01 07:00:00,483.56544923246577,2203.8595505617977,26.46196600560392,31.0610393138414,20.18644138918085,3.990000009536743,6.907467298293382,615,8,0.48356544923246575,2.203859550561798,4.599073308237479,4.557520712159752,True
2026-01-01 08:00:00,480.6605115370317,2200.46875,26.34732988205823,30.94150573015213,20.08983085115077,4.0,6.905026494102045,615,8,0.4806605115370317,2.20046875,4.594175848093901,4.5780102529401745,True
2026-01-01 09:00:00,479.9641025467136,2171.578347578348,26.26304814482686,30.79763533654716,20.0,3.7799999713897705,6.90408703268763,615,8,0.4799641025467136,2.1715783475783477,4.5345871917202984,4.524459925348259,True
2026-01-01 10:00:00,575.5214288330078,2523.6695156695155,26.524672342501475,31.793760576818745,19.94067773980609,3.069999933242798,6.9059867750205886,615,8,0.5755214288330078,2.5236695156695155,5.26908823431727,4.385013987727255,True
2026-01-01 11:00:00,507.3473085398039,2213.552407932011,26.6903116155954,31.30835689296128,19.90499963760376,2.740000009536743,6.906810676747611,615,8,0.5073473085398039,2.2135524079320112,4.61804527736588,4.3629923144814455,True
2026-01-01 12:00:00,480.2891057190282,2213.346368715084,26.29673170910201,30.919525135828795,19.89830469681045,2.759999990463257,6.902497491357047,615,8,0.4802891057190282,2.213346368715084,4.622793426726787,4.608362634837492,True
2026-01-01 13:00:00,556.7108949629288,2475.8715083798884,26.30142461787389,31.473156476154006,19.82499933242798,3.190000057220459,6.905011965575831,615,8,0.5567108949629288,2.4758715083798886,5.171731858280115,4.447320019746974,True
2026-01-01 14:00:00,556.1256331322899,2451.425352112676,26.80073245948469,31.917549294485173,19.799999237060547,2.309999942779541,6.90898709632981,615,8,0.5561256331322899,2.4514253521126763,5.116816835000485,4.40804236680372,True
2026-01-01 15:00:00,579.0314451223055,2518.555240793201,26.84172829149803,32.10147314098671,19.799999237060547,1.3700000047683716,6.907141249173086,615,8,0.5790314451223055,2.518555240793201,5.259744849488683,4.349600115864555,True
2026-01-01 16:00:00,591.5732382331096,2525.859154929577,26.87340848143672,32.146619716160735,19.799999237060547,1.1699999570846558,6.908705358102288,615,8,0.5915732382331096,2.525859154929577,5.273211234724016,4.269731948107939,True
2026-01-01 17:00:00,606.4055871377444,2528.9441340782123,26.933463746608968,32.21326820011245,19.81186368909933,1.190000057220459,6.908318008124495,615,8,0.6064055871377444,2.528944134078212,5.279804453503484,4.170383960370347,True
2026-01-01 18:00:00,648.1508622114686,2166.948275862069,26.29393683904889,30.832557332926783,19.899999618530277,1.3700000047683716,8.159102686520281,615,8,0.6481508622114687,2.166948275862069,4.538620493877893,3.3432776259349795,True
2026-01-01 19:00:00,542.1058495821727,2378.1030640668523,26.912590457204324,31.87660166280848,19.943333117167157,2.130000114440918,6.906859210606737,615,8,0.5421058495821727,2.378103064066852,4.964011205604155,4.386787314506515,True
2026-01-01 20:00:00,331.4575418387045,1558.673184357542,26.862318497130325,31.378128520603287,20.146667003631592,3.259999990463257,4.839189210375927,615,8,0.3314575418387045,1.5586731843575419,4.515810023472962,4.702482181310664,True
2026-01-01 21:00:00,13.573743031677587,0.0,24.004901966127026,27.834453769758635,20.274575896182306,3.869999885559082,0.0,615,8,0.013573743031677587,0.0,3.8295518036316096,,False
2026-01-01 22:00:00,410.35865824449,1369.2122905027934,23.009860310474583,26.33921793186465,20.15000057220459,3.7799999713897705,6.463163876666704,615,8,0.41035865824449,1.3692122905027935,3.3293576213900664,3.3366233732225097,True
2026-01-01 23:00:00,1690.1620749462857,5333.823033707865,34.11803365557381,37.95657300413325,19.86833283106486,3.869999885559082,19.935868463070875,615,8,1.6901620749462856,5.333823033707865,3.8385393485594363,3.1558056548377924,True
2026-01-02 00:00:00,1024.5231819365945,3373.9469273743016,27.77382680690488,32.509944084636324,19.8899995803833,3.630000114440918,10.309370626950397,615,8,1.0245231819365945,3.3739469273743015,4.736117277731445,3.293187491372067,True
2026-01-02 01:00:00,752.3034099232067,2546.153409090909,27.39764212478291,32.71369317444888,19.901694540250094,3.190000057220459,6.909288711168549,615,8,0.7523034099232067,2.546153409090909,5.316051049665969,3.384476762308992,True
2026-01-02 02:00:00,709.8815640071251,2656.5698324022346,27.197039034113537,32.74516753511056,19.937930797708447,2.369999885559082,6.90822488635612,615,8,0.7098815640071251,2.6565698324022344,5.548128500997024,3.742271904353288,True
2026-01-02 03:00:00,676.7857548378033,2625.3798882681563,27.40720656730609,32.88687157231336,20.093333689371743,1.6200000047683716,6.911484378676175,615,8,0.6767857548378033,2.625379888268156,5.47966500500727,3.8791890483825977,True
2026-01-02 04:00:00,617.0743000733786,2465.8268156424583,27.2897205459339,32.43790499724489,20.05762733847408,0.7699999809265137,6.906408865358577,615,8,0.6170743000733786,2.4658268156424583,5.148184451310993,3.9959966171808445,True
2026-01-02 05:00:00,605.484958829322,2577.626740947075,27.180919200929093,32.561615659665925,20.02372890407756,0.8299999833106995,6.909784573366383,615,8,0.605484958829322,2.5776267409470752,5.380696458736832,4.257127618712117,True
2026-01-02 06:00:00,608.8061448422225,2532.405027932961,27.2006982771378,32.48868718493584,20.00166667302449,0.6700000166893005,6.908131755264112,615,8,0.6088061448422225,2.5324050279329606,5.2879889077980415,4.159624618423088,True
2026-01-02 07:00:00,605.3567030922661,2529.0083798882683,27.079245625927463,32.35860346149466,19.998305078280172,1.090000033378601,6.90896990978518,615,8,0.6053567030922661,2.5290083798882685,5.279357835567197,4.177715992851254,True
2026-01-02 08:00:00,606.6561800495962,2530.18156424581,27.031760247726016,32.314245916611654,19.9266663869222,0.2300000041723251,6.907340169618916,615,8,0.6066561800495962,2.53018156424581,5.282485668885638,4.17070104525921,True
2026-01-02 09:00:00,603.4277311266303,2522.9523809523807,26.97459392387326,32.24341732847925,19.899999618530277,0.4000000059604645,6.907403553233428,615,8,0.6034277311266303,2.522952380952381,5.268823404605985,4.181034862686705,True
2026-01-02 10:00:00,604.4530716368606,2508.0530726256984,26.913323945839316,32.14885466591606,19.881666215260825,0.2800000011920929,6.9085974027324655,615,8,0.6044530716368606,2.508053072625698,5.235530720076746,4.149293287291739,True
2026-01-02 11:00:00,602.6650842421548,2550.2625698324023,26.87455303042961,32.20055850790865,19.804999256134032,0.2000000029802322,6.90626918403796,615,8,0.6026650842421548,2.550262569832402,5.326005477479043,4.231641481336739,True
2026-01-02 12:00:00,605.5384409274895,2561.941504178273,26.907659960988504,32.25682438714922,19.79660945827678,0.6200000047683716,6.907277143101174,615,8,0.6055384409274895,2.561941504178273,5.349164426160719,4.230848664626816,True
2026-01-02 13:00:00,603.6594967975296,2565.90782122905,26.86723456569224,32.22402230587752,19.721667098999024,0.8299999833106995,6.908178314816352,615,8,0.6036594967975296,2.5659078212290503,5.356787740185279,4.2505880133443315,True
2026-01-02 14:00:00,603.3033515461331,2517.064245810056,26.764860286392977,32.01888271949811,19.66833397547404,0.7300000190734863,6.90864395029718,615,8,0.603303351546133,2.517064245810056,5.254022433105131,4.172137017570642,True
2026-01-02 15:00:00,804.3519572252668,2759.6145251396647,26.51259781928036,32.040195523693576,19.600000381469727,0.2199999988079071,8.014405077396159,615,8,0.8043519572252668,2.7596145251396647,5.527597704413218,3.4308544914335393,True
2026-01-02 16:00:00,921.6861599852136,3351.289693593315,27.893732596904787,34.894401146508855,19.71016967902749,0.5600000023841858,6.915078123299856,615,8,0.9216861599852136,3.3512896935933147,7.000668549604068,3.636042113995808,True
2026-01-02 17:00:00,847.7769417656792,3109.635097493036,28.36571026114036,34.85760444917386,19.873332850138347,0.4399999976158142,6.915263833441774,615,8,0.8477769417656792,3.1096350974930362,6.491894188033502,3.6679873493805424,True
2026-01-02 18:00:00,832.034355802909,3138.036312849162,28.208463940540504,34.75770957776288,19.899999618530277,0.4300000071525574,6.916885827506721,615,8,0.832034355802909,3.138036312849162,6.549245637222377,3.771522523034488,True
2026-01-02 19:00:00,770.704191580831,3085.4944134078214,28.431173191390226,34.868603264153336,19.95999984741211,1.100000023841858,6.917025518150969,615,8,0.770704191580831,3.0854944134078215,6.43743007276311,4.003474286391262,True
2026-01-02 20:00:00,472.6853526934772,1969.456338028169,28.26538015553649,33.63980295960332,20.18135620375811,1.9800000190734863,5.117783861974595,615,8,0.4726853526934772,1.969456338028169,5.374422804066832,4.166527113238697,True
2026-01-02 21:00:00,16.345786533998638,22.9438202247191,25.30929771166169,28.310196672932484,20.3166659673055,2.559999942779541,1.88385047704986,615,8,0.016345786533998638,0.0229438202247191,3.0008989612707957,,False
2026-01-02 22:00:00,588.3801687043473,2175.8156424581007,24.58958101006193,29.301424527301467,20.291666158040364,2.890000104904175,7.450139634623374,615,8,0.5883801687043473,2.1758156424581006,4.7118435172395365,3.697975829554883,True
2026-01-02 23:00:00,1714.8047893416713,5309.870422535211,33.73233804299798,37.7084788846298,19.88245602657921,3.190000057220459,19.534892135942485,615,8,1.7148047893416714,5.309870422535211,3.9761408416318176,3.0964868161895662,True
2026-01-03 00:00:00,834.708659251975,2764.8379888268155,27.61156422599068,31.997960793905417,19.796665954589844,2.9200000762939453,9.031554541774302,615,8,0.8347086592519749,2.7648379888268155,4.386396567914737,3.3123389318909524,True
2026-01-03 01:00:00,696.6471587094394,2526.877840909091,26.890909086574208,32.16588075052608,19.818332640329995,2.509999990463257,6.90772591937672,615,8,0.6966471587094394,2.526877840909091,5.27497166395187,3.6271989475851893,True
2026-01-03 02:00:00,636.0787544574683,2461.3059490084984,27.011557959969927,32.15130313192481,19.869491027573407,1.8899999856948853,6.907141231612511,615,8,0.6360787544574683,2.4613059490084983,5.1397451719548854,3.869498755869977,True
2026-01-03 03:00:00,603.742416553283,2510.48595505618,26.816544838165967,32.05792137746061,19.827585549190125,0.1000000014901161,6.907654594839289,615,8,0.603742416553283,2.51048595505618,5.241376539294642,4.158207020451442,True
