timestamp,heatpump_elec,heatpump_heat,heatpump_returnT,heatpump_flowT,heatpump_roomT,heatpump_outsideT,heatpump_flowrate,system_id,capacity_kw
2026-01-01 00:00:00,468.5642853655134,2293.117142857143,27.019857330322267,31.807942788260323,20.298304347668665,5.840000152587891,6.905428370067051,615,8
2026-01-01 01:00:00,463.4721124353543,2315.4647887323945,27.01157765455649,31.845830933476837,20.312068248617237,5.510000228881836,6.907202691091618,615,8
2026-01-01 02:00:00,321.12909557590376,1573.454802259887,26.79836146036784,31.389689224587997,20.32499933242798,5.75,4.7252856885940675,615,8
2026-01-01 03:00:00,525.1230555652542,2361.9682997118157,25.661786752750277,30.025561967569402,20.203509213631612,5.440000057220459,7.554296319010622,615,8
2026-01-01 04:00:00,452.8011365370317,2001.6789772727273,26.79051134261218,30.97312505678697,20.21833381652832,4.820000171661377,6.905689513141459,615,8
2026-01-01 05:00:00,472.92016695594253,2205.361344537815,26.39941170102074,31.003837532022086,20.19830584121963,4.139999866485596,6.905348982129778,615,8
2026-01-01 06:00:00,479.41937281942774,2245.925925925926,26.433931464822884,31.121965723499613,20.20175512213456,3.9800000190734863,6.905559318357723,615,8
2026-01-01 07:00:00,483.56544923246577,2203.8595505617977,26.46196600560392,31.061039313841402,20.186441389180846,3.990000009536743,6.907467298293382,615,8
2026-01-01 08:00:00,480.6605115370317,2200.46875,26.34732988205823,30.94150573015213,20.089830851150772,4.0,6.905026494102045,615,8
2026-01-01 09:00:00,479.9641025467136,2171.578347578348,26.26304814482686,30.797635336547156,20.0,3.7799999713897705,6.90408703268763,615,8
2026-01-01 10:00:00,575.5214288330078,2523.6695156695155,26.524672342501475,31.793760576818745,19.940677739806095,3.069999933242798,6.9059867750205886,615,8
2026-01-01 11:00:00,507.3473085398039,2213.552407932011,26.690311615595398,31.30835689296128,19.90499963760376,2.740000009536743,6.906810676747611,615,8
2026-01-01 12:00:00,480.2891057190282,2213.346368715084,26.296731709102012,30.919525135828795,19.89830469681045,2.759999990463257,6.902497491357047,615,8
2026-01-01 13:00:00,556.7108949629288,2475.8715083798884,26.30142461787389,31.473156476154006,19.82499933242798,3.190000057220459,6.905011965575831,615,8
2026-01-01 14:00:00,556.1256331322899,2451.425352112676,26.800732459484692,31.917549294485173,19.799999237060547,2.309999942779541,6.90898709632981,615,8
2026-01-01 15:00:00,579.0314451223055,2518.555240793201,26.84172829149803,32.10147314098671,19.799999237060547,1.3700000047683716,6.907141249173086,615,8
2026-01-01 16:00:00,591.5732382331096,2525.8591549295775,26.873408481436716,32.146619716160735,19.799999237060547,1.1699999570846558,6.908705358102288,615,8
2026-01-01 17:00:00,606.4055871377444,2528.9441340782123,26.933463746608968,32.21326820011245,19.81186368909933,1.190000057220459,6.908318008124495,615,8
