timestamp,heatpump_elec,heatpump_heat,heatpump_flowT,heatpump_returnT,heatpump_flowrate,heatpump_roomT,heatpump_outsideT
2026-01-01 00:00:00,464.5852687068431,2335.9660056657226,31.88288949636832,27.004022727944694,6.90459116052298,20.299999237060547,5.820000171661377
2026-01-01 01:00:00,466.326136155562,2291.1448863636365,31.78829538280314,27.005113715475257,6.9063525172797116,20.298304347668665,5.840000152587891
2026-01-01 02:00:00,465.3612985557082,2309.3276836158193,31.838333280746546,27.016158249418613,6.907690046870776,20.337287514896715,5.510000228881836
2026-01-01 03:00:00,282.0543112891844,1253.4367816091954,29.588879316702656,25.196752877070985,3.786580877292944,20.249122720015677,5.75
2026-01-01 04:00:00,550.9988672186228,2417.0339943342774,31.298186980293426,27.24878187422712,8.43218654411035,20.213333733876546,5.440000057220459
2026-01-01 05:00:00,461.7719089636642,2194.0926966292136,30.988595539264466,26.406151546521134,6.903955368513472,20.19830584121963,4.820000171661377
2026-01-01 06:00:00,482.67008498319535,2215.011396011396,31.05393161393299,26.42968649470229,6.9045619624972,20.200000762939453,4.139999866485596
2026-01-01 07:00:00,479.66619692520356,2244.588732394366,31.14498584908499,26.46002799557968,6.90743749511074,20.20172487456223,3.9800000190734863
2026-01-01 08:00:00,482.47960319194846,2187.702549575071,30.96059494450815,26.395524151939846,6.906385648689594,20.125424207267116,3.990000009536743
2026-01-01 09:00:00,482.483662522007,2175.5943661971833,30.84380284161635,26.299492860176194,6.904197391993563,20.030000114440917,4.0
2026-01-01 10:00:00,552.836023512079,2440.951008645533,31.39354454062514,26.295475319414386,6.905223192330396,19.969491409043133,3.7799999713897705
2026-01-01 11:00:00,524.1299142864694,2332.5710227272725,31.666420432654295,26.801079636270348,6.9075838395140385,19.911864070569056,3.069999933242798
2026-01-01 12:00:00,482.5380944003578,2180.15406162465,30.948711421977237,26.397226894603055,6.903527900952251,19.899999618530273,2.740000009536743
2026-01-01 13:00:00,517.174023420451,2284.530726256983,30.99991623116605,26.22631276519605,6.903335653869799,19.86166613896688,2.759999990463257
2026-01-01 14:00:00,567.2145658434272,2540.3025210084033,31.981960825559472,26.68002792700332,6.90824405819762,19.799999237060547,3.190000057220459
2026-01-01 15:00:00,573.77698802948,2508.119318181818,32.036562551151626,26.798665127970956,6.907110267064788,19.799999237060547,2.309999942779541
2026-01-01 16:00:00,578.9104232573173,2488.760563380282,32.07549297171579,26.879605752649443,6.908846227887651,19.799999237060547,1.3700000047683716
2026-01-01 17:00:00,604.7846355757899,2555.8715083798884,32.24500003473719,26.908407861294027,6.908131749936322,19.799999237060547,1.1699999570846558
2026-01-01 18:00:00,626.8086596973782,2074.6340782122907,30.94851946164776,26.602541960817476,8.126671488724607,19.874575792732884,1.190000057220459
2026-01-01 19:00:00,608.4767235942271,2576.4655172413795,31.944884996304566,26.565976943092785,6.9043019804461245,19.90517205205457,1.3700000047683716
2026-01-01 20:00:00,478.693593654792,2238.5041782729804,31.71103067318377,27.038690837976993,6.90713782961322,20.05833355585734,2.130000114440918
2026-01-01 21:00:00,41.79581009209489,156.24649859943978,29.451960790724982,25.341120450102647,0.48062831476455975,20.27166633605957,3.259999990463257
2026-01-01 22:00:00,14.492737442421513,0.0,25.71111732887822,22.176843579255003,0.0,20.203390347755562,3.869999885559082
2026-01-01 23:00:00,1761.1729010310253,5454.332402234637,38.44399442086673,34.85019546913701,21.59342406981484,19.97833325068156,3.7799999713897705
2026-01-02 00:00:00,1056.2721879026863,3722.8370786516853,30.218932569696662,25.99766853418243,12.525912938744165,19.854999446868895,3.869999885559082
